"Limon", 324.45, 707
"Brocoli", 346.32, 352
"Rabanito", 215.26, 285
"Acelga", 27.79, 837
"Mandarina", 19.34, 1090
"Cebolla", 63.85, 704
"Higo", 2403.44, 101
"Naranja", 15.82, 870
"Melon", 118.25, 376
"Palta", 1145.60, 452
"Repollo", 1.21, 756
"Pomelo", 49.78, 936
"Berenjena", 72.38, 696
"Lima", 1216.62, 204
"Melon", 115.14, 324
"Zuccini", 77.68, 528
"Ajo", 929.60, 80
"Durazno", 145.43, 704
"Limon", 319.61, 749
"Coliflor", 28.36, 590
"Durazno", 172.73, 776
"Champignon", 3576.37, 87
"Durazno", 171.61, 672
"Pepino", 30.79, 510
"Brocoli", 374.21, 368
"Papa", 10.23, 1000
"Berenjena", 60.37, 690
"Coliflor", 22.16, 430
"Berenjena", 61.87, 558
"Pepino", 38.15, 520
"Apio", 48.49, 243
"Esparrago", 648.84, 220
"Higo", 2451.09, 93
"Caqui", 881.83, 102
"Limon", 315.63, 777
"Caqui", 844.59, 82
"Durazno", 138.49, 712
"Kiwi", 439.41, 344
"Alcachofa", 147.72, 345
"Zuccini", 88.33, 552
"Calabaza", 19.66, 696
"Durazno", 287.34, 656
"Melon", 116.47, 356
"Esparrago", 630.99, 240
"Zanahoria", 29.63, 672
"Champignon", 3639.96, 97
"Palta", 478.44, 565
"Cebolla", 75.19, 672
"Frambuesa", 1983.92, 83
"Lima", 1378.80, 230
"Apio", 75.31, 261
"Champignon", 3579.74, 86
"Naranja", 10.39, 940
"Higo", 2504.02, 101
"Lima", 1228.81, 238
"Champignon", 3512.04, 97
"Cebolla", 57.60, 816
"Lima", 1401.06, 212
"Rabanito", 244.25, 267
"Banana", 61.65, 840
"Frutilla", 304.75, 255
"Pepino", 38.35, 510
"Mandarina", 12.48, 960
"Repollo", 7.13, 686
"Rabanito", 224.80, 330
"Repollo", 10.11, 609
"Tomate", 730.95, 981
"Papa", 15.09, 980
"Frutilla", 302.81, 243
"Naranja", 7.18, 1180
"Rabanito", 235.69, 348
"Banana", 71.31, 980
"Ajo", 929.89, 88
"Lima", 1232.14, 208
"Zuccini", 72.87, 696
"Durazno", 274.51, 952
"Naranja", 14.52, 810
"Sandia", 48.27, 774
"Lima", 1234.11, 222
"Pepino", 43.08, 405
"Kinoto", 48.34, 186
"Morron", 3003.26, 666
"Apio", 49.32, 279
"Pepino", 37.99, 495
"Higo", 2471.53, 96
"Limon", 330.65, 686
"Durazno", 190.20, 680
"Berenjena", 41.94, 618
"Alcachofa", 136.07, 279
"Acelga", 19.00, 954
"Durazno", 163.41, 688
"Champignon", 3688.52, 106
"TomCherry", 571.30, 172
"Mandarina", 20.66, 1090
"Durazno", 267.72, 832
"Calabaza", 19.61, 768
"Morron", 2911.36, 534
"Cereza", 962.08, 212
"Lechuga", 37.23, 1062
"Ciruela", 999.63, 1017
"Lima", 1032.34, 192
"Durazno", 182.69, 832
"Batata", 19.57, 850
"Rabanito", 251.31, 276
"Melon", 110.94, 384
"Pomelo", 38.37, 1035
"Durazno", 272.11, 920
"Cebolla", 66.05, 912
"Zuccini", 100.03, 570
"Lima", 1363.85, 188
"Pepino", 36.43, 470
"Caqui", 865.54, 120
"Caqui", 866.38, 120
"Esparrago", 665.65, 230
"Mandarina", 32.56, 940
"Caqui", 821.73, 116
"Kiwi", 418.67, 480
"Durazno", 157.89, 776
"Tomate", 780.26, 1053
"Alcachofa", 126.92, 267
"Manzana", 144.94, 980
"Tomate", 775.14, 747
"Uva", 659.55, 327
"Kiwi", 441.12, 472
"Esparrago", 646.22, 180
"Choclo", 59.01, 291
"Sandia", 47.26, 945
"Apio", 60.90, 324
"Rabanito", 205.20, 285
"Palta", 465.83, 420
"Naranja", 18.96, 840
"Papa", 16.87, 810
"Zanahoria", 38.77, 606
"Durazno", 209.36, 752
"Banana", 64.29, 920
"Durazno", 130.56, 936
"Batata", 25.47, 1010
"Ajo", 854.93, 88
"Alcachofa", 137.28, 279
"Zuccini", 73.93, 564
"Morron", 3018.16, 588
"Frutilla", 265.90, 282
"Rabanito", 246.15, 279
"Pomelo", 45.16, 1035
"Champignon", 3392.42, 97
"Mandarina", 21.04, 1010
"Durazno", 289.11, 904
"Frambuesa", 2092.48, 118
"Naranja", 15.04, 1060
"Cebolla", 61.18, 672
"Lechuga", 49.40, 828
"Caqui", 834.65, 103
"Calabaza", 17.83, 728
"Durazno", 264.84, 920
"Pepino", 29.78, 510
"Zanahoria", 32.73, 630
"Ajo", 941.37, 118
"TomCherry", 516.91, 180
"Rabanito", 219.20, 339
"Caqui", 843.25, 104
"TomCherry", 537.37, 196
"Uva", 661.36, 270
"Pomelo", 47.80, 792
"Batata", 21.87, 1080
"Naranja", 11.40, 1180
"Limon", 328.42, 777
"Lima", 1199.37, 190
"Apio", 52.55, 357
"Rabanito", 221.44, 261
"Cereza", 1037.45, 182
"Lima", 1299.57, 200
"Acelga", 21.04, 972
"Esparrago", 593.70, 160
"Apio", 55.42, 264
"Kiwi", 449.11, 344
"Acelga", 20.95, 810
"Melon", 111.74, 432
"Palta", 510.46, 415
"Higo", 2416.08, 83
"Ciruela", 969.04, 873
"Cebolla", 66.15, 760
"Naranja", 11.38, 1180
"Pepino", 35.88, 400
"Esparrago", 593.76, 168
"Pera", 144.69, 1050
"Mandarina", 15.72, 940
"Pepino", 37.76, 455
"Palta", 1115.79, 368
"Frambuesa", 2033.13, 120
"Palta", 1085.59, 384
"Coliflor", 32.36, 500
"Banana", 75.39, 1170
"Melon", 95.21, 432
"Naranja", 23.24, 1180
"Berenjena", 62.09, 642
"Naranja", 8.50, 950
"Sandia", 64.23, 837
"Esparrago", 612.40, 204
"Ciruela", 975.53, 819
"Rabanito", 215.01, 291
"Banana", 77.43, 1160
"Zuccini", 72.36, 618
"Cereza", 1101.15, 234
"Acelga", 20.40, 927
"TomCherry", 533.42, 190
"Morron", 3093.41, 630
"Durazno", 164.43, 936
"Berenjena", 47.30, 564
"Rabanito", 219.52, 258
"Ajo", 946.41, 82
"Higo", 2494.06, 93
"Ajo", 919.78, 87
"Melon", 98.62, 400
"Apio", 66.58, 294
"Rabanito", 257.79, 267
"TomCherry", 506.83, 238
"Naranja", 9.83, 880
"Brocoli", 351.61, 348
"Zuccini", 77.07, 684
"Lima", 1164.46, 232
"Frambuesa", 2031.45, 95
"Palta", 1162.19, 428
"Pomelo", 53.76, 882
"Naranja", 16.37, 990
"Coliflor", 32.63, 505
"Brocoli", 361.62, 444
"Alcachofa", 131.42, 330
"Durazno", 160.90, 728
"Batata", 15.73, 1030
"Pera", 156.49, 1020
"Sandia", 63.45, 819
"Ciruela", 959.10, 1017
"Palta", 482.91, 540
"Kiwi", 440.00, 376
"Acelga", 16.30, 927
"TomCherry", 533.19, 162
"Zanahoria", 34.24, 684
"Morron", 2914.43, 636
"Zuccini", 77.49, 552
"Uva", 722.06, 291
"Choclo", 56.32, 270
"Esparrago", 613.61, 194
"Apio", 66.35, 285
"Lechuga", 41.92, 927
"Cereza", 988.61, 214
"Sandia", 62.53, 1017
"Apio", 66.99, 333
"Naranja", 9.80, 1170
"Higo", 2471.13, 89
"Brocoli", 354.93, 440
"Choclo", 56.56, 285
"Champignon", 3607.87, 101
"Champignon", 3591.45, 101
"Alcachofa", 154.42, 285
"Batata", 25.97, 840
"Coliflor", 36.19, 440
"Melon", 102.99, 404
"Mandarina", 10.79, 830
"Zanahoria", 36.02, 594
"Lima", 1229.12, 176
"Sandia", 50.70, 873
"Champignon", 3670.48, 108
"Morron", 2989.45, 510
"Lechuga", 41.06, 1008
"Esparrago", 667.70, 174
"Papa", 14.40, 1080
"Naranja", 10.41, 930
"Naranja", 10.98, 800
"Choclo", 34.54, 318
"Uva", 695.64, 321
"Pepino", 23.28, 510
"Frambuesa", 2036.63, 115
"Zanahoria", 30.15, 546
"Pepino", 42.06, 410
"Higo", 2523.03, 85
"Berenjena", 58.62, 534
"Manzana", 166.15, 1040
"Lima", 1017.36, 176
"Sandia", 68.06, 1017
"Esparrago", 642.61, 236
"Banana", 59.75, 1170
"Lima", 988.89, 166
"Frambuesa", 2080.02, 108
"Higo", 2534.87, 115
"Manzana", 134.38, 890
"TomCherry", 559.18, 238
"Kinoto", 31.08, 192
"Alcachofa", 148.49, 270
"Naranja", 10.22, 930
"Kiwi", 422.27, 336
"Mandarina", 24.50, 910
"Sandia", 51.36, 783
"Melon", 100.58, 396
"Durazno", 159.32, 792
"Uva", 677.54, 270
"Caqui", 776.67, 107
"Zanahoria", 42.37, 702
"Manzana", 133.92, 850
"Lima", 1368.42, 190
"Mandarina", 14.37, 1160
"Berenjena", 50.10, 606
"Tomate", 745.11, 1071
"Apio", 62.19, 300
"Choclo", 44.43, 336
"Esparrago", 617.60, 182
"Durazno", 168.74, 736
"Morron", 2995.47, 480
"Frutilla", 283.30, 285
"Morron", 3006.15, 642
"Durazno", 189.93, 648
"TomCherry", 520.58, 212
"Morron", 2977.29, 702
"Batata", 21.67, 890
"Durazno", 161.52, 648
"Higo", 2561.79, 110
"Kiwi", 458.02, 348
"Naranja", 13.61, 1110
"Cebolla", 71.51, 760
"Naranja", 12.72, 920
"Palta", 472.55, 555
"TomCherry", 545.86, 180
"Palta", 1118.33, 368
"Calabaza", 17.83, 840
"Limon", 342.46, 826
"Morron", 2933.83, 480
"Mandarina", 9.00, 1150
"Manzana", 140.91, 1200
"Durazno", 149.98, 824
"Palta", 529.98, 410
"Zuccini", 83.33, 588
"Melon", 115.58, 468
"Palta", 1096.34, 448
"Durazno", 147.54, 920
"Berenjena", 45.01, 552
"Palta", 514.91, 520
"Apio", 55.76, 348
"Lima", 1247.69, 182
"Durazno", 147.87, 728
"Mandarina", 9.99, 1080
"Pomelo", 53.27, 810
"Zuccini", 77.02, 480
"Durazno", 125.11, 744
"Esparrago", 645.42, 218
"Lechuga", 46.54, 846
"Esparrago", 619.62, 168
"TomCherry", 548.14, 210
"Cebolla", 62.69, 696
"TomCherry", 554.95, 160
"Higo", 2523.49, 113
"Durazno", 159.56, 800
"Repollo", 8.63, 700
"Choclo", 61.27, 303
"Pomelo", 47.94, 783
"Pera", 136.77, 810
"Pera", 140.14, 1190
"Alcachofa", 126.09, 360
"Batata", 18.75, 1130
"Naranja", 9.64, 960
"Lima", 1251.02, 232
"Limon", 312.98, 763
"Frutilla", 304.18, 264
"Coliflor", 32.58, 445
"Berenjena", 51.65, 702
"Cebolla", 68.62, 912
"Pomelo", 59.27, 846
"Mandarina", 19.22, 1080
"Caqui", 843.76, 110
"Pepino", 44.21, 585
"Zanahoria", 43.10, 720
"Choclo", 64.28, 348
"Coliflor", 34.99, 595
"Brocoli", 353.50, 332
"Esparrago", 628.20, 210
"Naranja", 19.64, 1120
"Brocoli", 352.31, 376
"Manzana", 137.02, 800
"Acelga", 23.98, 765
"Repollo", 4.58, 777
"Coliflor", 29.32, 425
"Lima", 1086.46, 220
"Batata", 17.11, 1040
"Naranja", 24.17, 1000
"Acelga", 26.92, 945
"Choclo", 70.49, 267
"Pera", 138.97, 810
"Cebolla", 57.11, 960
"Berenjena", 52.22, 672
"Champignon", 3624.10, 111
"Higo", 2519.21, 116
"Lechuga", 43.56, 774
"Frambuesa", 2040.81, 102
"Durazno", 265.93, 696
"Frambuesa", 2049.65, 82
"Pera", 152.33, 1160
"Batata", 22.52, 850
"Berenjena", 56.33, 510
"Sandia", 58.38, 882
"Palta", 488.14, 490
"Durazno", 149.77, 808
"Brocoli", 386.15, 388
"Ajo", 929.02, 80
"Brocoli", 318.65, 384
"Mandarina", 30.65, 810
"Caqui", 839.98, 80
"Frutilla", 297.93, 249
"Tomate", 771.41, 864
"Manzana", 117.04, 970
"Kiwi", 403.33, 368
"Zanahoria", 30.70, 618
"Choclo", 46.29, 333
"Uva", 679.41, 315
"Lechuga", 48.49, 873
"Ajo", 903.79, 107
"Ajo", 916.86, 112
"Durazno", 181.23, 872
"Mandarina", 22.31, 1000
"Calabaza", 21.31, 808
"Apio", 70.24, 285
"Kiwi", 429.47, 324
"Sandia", 57.58, 918
"Apio", 56.84, 345
"Limon", 315.51, 602
"Pera", 171.36, 890
"Palta", 1139.06, 460
"Zuccini", 101.18, 642
"Apio", 60.09, 327
"Caqui", 842.79, 87
"Berenjena", 58.76, 534
"Batata", 22.82, 800
"Ajo", 928.03, 91
"TomCherry", 550.79, 240
"Brocoli", 340.99, 460
"Coliflor", 20.01, 520
"Cebolla", 69.08, 688
"Pepino", 43.53, 485
"TomCherry", 556.39, 234
"Uva", 743.76, 249
"Esparrago", 595.03, 188
"Naranja", 9.77, 910
"Acelga", 18.07, 936
"Ciruela", 1005.06, 720
"Zanahoria", 23.00, 522
"Manzana", 135.40, 960
"Durazno", 147.59, 656
"Frambuesa", 2098.80, 102
"Durazno", 180.55, 960
"TomCherry", 582.31, 230
"Frutilla", 280.38, 333
"Berenjena", 58.43, 624
"Acelga", 18.10, 765
"Batata", 20.93, 1060
"Higo", 2486.40, 84
"Rabanito", 209.29, 288
"Cereza", 1007.21, 226
"Acelga", 24.39, 747
"Sandia", 64.31, 729
"Ajo", 915.33, 109
"Palta", 505.64, 535
"Ajo", 900.29, 84
"Berenjena", 42.74, 510
"Zuccini", 83.69, 624
"Cebolla", 69.20, 760
"Esparrago", 650.72, 232
"Lima", 1053.93, 238
"Pomelo", 52.61, 1062
"Lima", 997.61, 220
"Morron", 2984.06, 660
"Mandarina", 25.27, 950
"Morron", 2942.48, 582
"Frambuesa", 2065.88, 109
"Cebolla", 46.48, 824
"Lima", 1052.40, 194
"Mandarina", 19.68, 950
"Berenjena", 62.35, 672
"Papa", 12.95, 980
"Banana", 66.48, 880
"Acelga", 23.61, 1026
"Pera", 146.35, 1140
"Acelga", 22.99, 837
"Ajo", 955.01, 105
"Mandarina", 16.56, 1110
"Cereza", 1054.99, 238
"Durazno", 161.24, 704
"Lima", 1250.92, 166
"Ciruela", 1007.35, 801
"Mandarina", 23.43, 1070
"Cebolla", 83.46, 720
"Coliflor", 25.65, 450
"Sandia", 53.89, 936
"Cereza", 986.74, 194
"Pera", 163.65, 1040
"Higo", 2437.47, 106
"Uva", 662.33, 288
"Alcachofa", 154.69, 285
"Cebolla", 78.43, 904
"Cebolla", 59.92, 840
"Lima", 995.48, 176
"Pera", 188.13, 1040
"Pepino", 34.93, 475
"Caqui", 826.29, 95
"Choclo", 66.18, 330
"Pomelo", 53.37, 792
"Cebolla", 62.57, 864
"Lima", 1316.35, 210
"Kinoto", 39.32, 200
"Papa", 10.81, 1200
"Uva", 681.31, 348
"Manzana", 142.64, 1190
"Batata", 27.40, 890
"Calabaza", 16.88, 848
"Sandia", 54.85, 828
"Frutilla", 258.41, 345
"Higo", 2504.13, 118
"Lima", 1423.10, 212
"Repollo", 4.62, 819
"Ajo", 891.92, 94
"Pepino", 32.01, 560
"Lima", 1333.47, 194
"Zanahoria", 41.99, 642
